3/23/26, 12:42 PM
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	   14007	275981	                1683315	               1918883	   115	
Remaining:       	   14007	275981	                1683315	               1918883	   115	
Unique:          	   13474	272658	                1665325	               1897768	   115	
Unique Remaining:	   13474	272658	                1665325	               1897768	   115	


Individual File Statistics:

File Name                                                                                         	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
100-urticaria-and-angioedema.txt                                                                  	            87	                87	             84	                       84	       1960	           1960	        1939	                  1939	                        12035	                            12035	                         11928	                                   11928	                       13732	                           13732	                        13604	                                  13604	
101-same-day-emergency-care.txt                                                                   	           101	               101	             97	                       97	       2004	           2004	        1981	                  1981	                        11591	                            11591	                         11473	                                   11473	                       13367	                           13367	                        13227	                                  13227	
102-hospital-at-home.txt                                                                          	           105	               105	            101	                      101	       2225	           2225	        2195	                  2195	                        13410	                            13410	                         13246	                                   13246	                       15349	                           15349	                        15156	                                  15156	
103-pregnancy-related-medical-conditions.txt                                                      	           157	               157	            154	                      154	       3189	           3189	        3168	                  3168	                        20290	                            20290	                         20183	                                   20183	                       22728	                           22728	                        22600	                                  22600	
104-capacity-and-consent.txt                                                                      	           113	               113	            110	                      110	       2584	           2584	        2563	                  2563	                        14469	                            14469	                         14362	                                   14362	                       16765	                           16765	                        16637	                                  16637	
105-airway-management-and-upper-airway-obstruction.txt                                            	           191	               191	            185	                      185	       3600	           3600	        3564	                  3564	                        20935	                            20935	                         20747	                                   20747	                       24142	                           24142	                        23921	                                  23921	
106-dc-cardioversion.txt                                                                          	            98	                98	             95	                       95	       1575	           1575	        1554	                  1554	                         9852	                             9852	                          9745	                                    9745	                       11194	                           11194	                        11066	                                  11066	
107-temporary-cardiac-pacing.txt                                                                  	           124	               124	            119	                      119	       1781	           1781	        1748	                  1748	                         9734	                             9734	                          9551	                                    9551	                       11272	                           11272	                        11057	                                  11057	
108-central-vein-cannulation.txt                                                                  	           110	               110	            106	                      106	       1783	           1783	        1757	                  1757	                         9850	                             9850	                          9708	                                    9708	                       11384	                           11384	                        11217	                                  11217	
109-intraosseous-access.txt                                                                       	            42	                42	             39	                       39	        719	            719	         698	                   698	                         3667	                             3667	                          3560	                                    3560	                        4308	                            4308	                         4180	                                   4180	
110-insertion-of-an-intercostal-chest-drain.txt                                                   	           145	               145	            140	                      140	       3219	           3219	        3188	                  3188	                        17725	                            17725	                         17562	                                   17562	                       20606	                           20606	                        20416	                                  20416	
111-aspiration-of-the-knee-joint.txt                                                              	            50	                50	             46	                       46	        758	            758	         733	                   733	                         4592	                             4592	                          4465	                                    4465	                        5217	                            5217	                         5066	                                   5066	
112-abdominal-paracentesis.txt                                                                    	            82	                82	             78	                       78	       1317	           1317	        1294	                  1294	                         7731	                             7731	                          7610	                                    7610	                        8911	                            8911	                         8768	                                   8768	
113-non-invasive-ventilation.txt                                                                  	           113	               113	            106	                      106	       1979	           1979	        1935	                  1935	                        11541	                            11541	                         11273	                                   11273	                       13281	                           13281	                        12978	                                  12978	
114-arterial-line-insertion.txt                                                                   	            83	                83	             79	                       79	       1431	           1431	        1408	                  1408	                         8059	                             8059	                          7932	                                    7932	                        9360	                            9360	                         9211	                                   9211	
115-point-of-care-ultrasound.txt                                                                  	           206	               206	            200	                      200	      10241	          10241	       10199	                 10199	                        65738	                            65738	                         65524	                                   65524	                       74852	                           74852	                        74596	                                  74596	
