source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
107-major-complex-and-high-risk-incidents-fig-03	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JZ8.jpg
107-major-complex-and-high-risk-incidents-fig-04	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JZ9.jpg
107-major-complex-and-high-risk-incidents-fig-05	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-05.jpg	image/jpeg			source_asset_href=image_rsrc1JZA.jpg
107-major-complex-and-high-risk-incidents-fig-06	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-06.jpg	image/jpeg			source_asset_href=image_rsrc1JZB.jpg
107-major-complex-and-high-risk-incidents-fig-07	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-07.jpg	image/jpeg			source_asset_href=image_rsrc1JZC.jpg
107-major-complex-and-high-risk-incidents-fig-08	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-08.jpg	image/jpeg			source_asset_href=image_rsrc1JZD.jpg
107-major-complex-and-high-risk-incidents-fig-09	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-09.jpg	image/jpeg			source_asset_href=image_rsrc1JZE.jpg
107-major-complex-and-high-risk-incidents-fig-10	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-10.jpg	image/jpeg			source_asset_href=image_rsrc1JZF.jpg
107-major-complex-and-high-risk-incidents-fig-11	107-major-complex-and-high-risk-incidents	c1F98.xhtml	source/figures-raw/107-major-complex-and-high-risk-incidents-fig-11.jpg	image/jpeg			source_asset_href=image_rsrc1JZG.jpg
108-police-incapacitants-fig-01	108-police-incapacitants	c1G2M.xhtml	source/figures-raw/108-police-incapacitants-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JZH.jpg
109-index-fig-01	109-index	c1HEC.xhtml	source/figures-raw/109-index-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JZJ.jpg
109-index-fig-02	109-index	c1HEC.xhtml	source/figures-raw/109-index-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JZK.jpg
